商品,子供向け,大人向け,高級感,わくわく,定番,甘い,しょっぱい,コスパ良い,マニアック,健康志向,あっさり,こってり,がっつり,リフレッシュ,おつまみ
コーヒーゼリー,1,10,6,1,1,1,0,6,1,8,7,3,0,9,0
ガトーショコラ,6,9,9,1,2,1,0,4,1,1,1,9,8,9,0
たまごプリン,10,4,2,8,3,10,0,4,1,4,2,8,5,8,0
はまアイス,10,6,1,8,9,10,0,9,1,3,10,0,3,9,0
大学いも,6,9,3,2,7,8,0,3,3,3,1,9,9,5,0
特製しょうゆラーメン,5,9,3,9,4,0,10,8,6,1,0,10,10,5,9
かけうどん,8,2,2,4,8,0,10,8,2,2,8,2,7,2,5
カリカリポテト,10,7,1,10,10,0,10,8,0,0,0,10,8,3,10
たこ焼き,9,2,2,7,2,0,10,7,8,0,0,10,8,3,10
あさりの味噌汁,2,9,3,1,8,0,10,8,2,6,7,3,5,6,3
まぐろのたたき,6,7,2,1,10,0,6,9,0,5,2,8,5,5,2
シーフードサラダ,2,7,2,3,3,0,6,9,7,5,5,5,5,5,2
カリフォルニアロール,1,10,8,10,3,0,6,3,7,9,5,5,5,5,2
納豆巻き,9,2,1,1,9,0,6,9,1,5,5,5,5,5,2
かっぱ巻き,10,1,1,1,9,0,6,9,1,8,5,5,5,5,2
コーン,10,1,1,7,10,5,3,9,0,5,5,5,5,5,0
まぐろ,10,10,6,2,10,0,6,9,0,5,5,5,5,5,2
いか,2,9,5,2,10,0,6,9,0,5,5,5,5,5,2
サーモン,10,10,4,2,10,0,6,9,0,5,5,5,5,5,2
えび,8,9,3,2,10,0,6,9,0,5,5,5,5,5,2
あなご,1,9,9,8,7,5,3,10,3,5,5,5,5,9,5
いくら,10,5,9,9,10,0,6,2,0,5,5,5,5,9,2
貝,2,9,8,3,10,0,6,2,0,5,5,5,5,5,3
あぶり,6,10,9,7,10,0,9,9,0,1,2,8,9,9,9
肉,8,9,8,8,8,0,9,2,2,1,2,8,10,9,9
天ぷら,2,9,10,6,6,0,5,6,4,3,3,7,6,7,7
